RECORD #	qid	LANG	245|abnp	full_location	publisher_text	P123	Dates	subj_text	author_cleaned	P50
b4968873x		eng	Chakan, the forever man	Q163132	R.A.K. Graphics		1990	Fantasy; Fantasy comic books, strips, etc		
										
b49688819		eng	Chakan, the forever man in the nightmares thrall	Q163132	R.A.K. Graphics		1994	Fantasy; Fantasy comic books, strips, etc	Robert Kraus	
										
b29131327		eng	Superhero annual	Q163132	Cap'n Penny Productions			Superhero Comic books, strips, etc. Miscellanea; Toys Collectors and collecting United States; Comic art paraphernalia		
										
										
b52187718		eng	Hanna-Barbera Scooby-Doo : paint with water	Q725573	Landoll		1994	Coloring books; Funny horror Comic books, strips, etc		
										
b67015025		eng	Rupert and the blackberries	Q725573	Landoll		1995	Funny animal Comic books, strips, etc; British	Ian Paul Robinson	
										
b67987072		eng	Rupert and the snow dragon	Q725573	Landoll		1995	Funny animal Comic books, strips, etc	Ian Paul Robinson	
b36199734		eng	Bugs Bunny's favorite jokes	Q725573	Landoll		1996	Funny animal Comic books, strips, etc. Miscellanea; Wit and humor, Juvenile; Jokes; Flip books		
										
										
										
b41793961		eng	X-Men coloring & activity book. No. 3	Q725573	Landoll		1996	Superhero Comic books, strips, etc. Miscellanea; Coloring books		
										
b46712756		eng	Lola Bunny's Don't ever call me doll!	Q725573	Landoll		1996	Funny animal Comic books, strips, etc; Coloring books		
										
b71875086		eng	Looney tunes jumbo coloring & activity book	Q725573	Landoll		1996	Coloring books; Funny animal Comic books, strips, etc		
										
b86267279		eng	Alvin and the chipmunks in Pinocchio : coloring & activity book	Q725573	Landoll		1996	Funny animal Comic books, strips, etc; Coloring books		
										
b32908271		eng	Batman & Robin posters to color	Q725573	Landoll		1997	Batman and Robin (Motion picture) Miscellanea; Superhero Comic books, strips, etc. Posters; Coloring books		
										
										
b32908295		eng	Batman & Robin posters to color	Q725573	Landoll		1997	Batman and Robin (Motion picture) Miscellanea; Superhero Comic books, strips, etc. Posters; Coloring books		
										
										
b33402292		eng	Batman & Robin pop-up book	Q725573	Landoll		1997	Superhero fiction; Superhero Comic books, strips, etc. Miscellanea; Toy and movable books		
										
										
b33419875		eng	Steel super coloring and activity book	Q725573	Landoll		1997	O'Neal, Shaquille; Steel (Motion picture) Miscellanea; Coloring books; Superhero Comic books, strips, etc. Miscellanea	Pablo Raimondi	
										
										
										
b40923708		eng	Nightmare on Elmer's street, starring Bugs Bunny, Elmer Fudd. Scaredy cat, starring Porky Pig and Sylvester : halloween super coloring & activity book double feature	Q725573	Landoll		1997	Halloween; Coloring books; Funny horror Comic books, strips, etc; Funny animal Comic books, strips, etc		
										
										
										
b71759402		eng	Pinky and the Brain in Spellbound : coloring & activity book	Q725573	Landoll		1997	Coloring books; Funny animal Comic books, strips, etc		
										
b105299443		eng	The Dream-Knight	Q725573	Gold Standard Comics		1997	Superheroes; Religious Comic books, strips, etc		
										
b11835338x		eng	Halloween : faw down, go Boo!	Q725573	Landoll, Inc.		1997	Coloring books; Funny animal Comic books, strips, etc		
										
b10036603x		eng	Superman super jumbo coloring & activity book : stop the presses!	Q725573	Landoll, Inc.		1998	Superheroes; Coloring books		
										
b72074711		eng	Peanuts super jumbo coloring and activity book	Q725573	Landoll		1999	Funny kid Comic books, strips, etc; Coloring books		
										
b105213275		eng	Super villain roundup : DC Comics super heroes super jumbo coloring & activity book	Q725573	Landoll, Inc.		1999	Coloring books; Superheroes	Ann Lewis	
										
b64093293		eng	Marvel heroes activity book	Q725573	Bendon Publishing International	Q20710604	2006	Coloring books; Superhero Comic books, strips, etc. Miscellanea		
										
b71250979		eng	The amazing Spider-Man jumbo coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2006	Coloring books; Superheroes		
										
b70863453		eng	Garfield : jumbo coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2007	Coloring books; Funny animal Comic books, strips, etc		
										
b70863477		eng	Garfield : jumbo coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2007	Coloring books; Funny animal Comic books, strips, etc		
										
b70863490		eng	Garfield : jumbo coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2007	Coloring books; Funny animal Comic books, strips, etc		
										
b70863507		eng	Garfield : jumbo coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2007	Coloring books; Funny animal Comic books, strips, etc		
										
b71441323		eng	Garfield coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2007	Coloring books; Funny animal Comic books, strips, etc		
										
b7220946x		eng	Marvel heroes activity book	Q725573	Bendon Publishing International	Q20710604	2009	Coloring books; Superhero Comic books, strips, etc. Miscellanea		
										
b72808159		eng	Spider-sense Spider-Man : coloring & activity book	Q725573	Bendon Publishing International	Q20710604	2009	Coloring books; Superheroes		
										
b96326839		eng	Batman : 288 coloring & activity pages	Q725573	Bendon Publishing International	Q20710604	2010	Coloring books; Superheroes		
										
b100404303		eng	Batman jumbo coloring & activity book	Q725573	Bendon Publishing International, Inc.	Q20710604	2010	Coloring books; Superheroes		
										
b121544485		eng	The amazing Spider-Man coloring and activity book	Q725573	Bendon Publishing International	Q20710604	2012	Coloring books; Superhero Comic books, strips, etc. Miscellanea		
										
b121021117		eng	Nickelodeon Teenage Mutant Ninja Turtles coloring & activity book	Q725573	Bendon Publishing International, Inc.	Q20710604	2013	Coloring books; Funny animal Comic books, strips, etc		
										
b118382949		eng	Media sight	Q755420	Media Sight Publications		1982	Science fiction Periodicals; Comic books, strips, etc. Periodicals; Motion pictures Periodicals; Television Periodicals; Fan magazines		
										
										
										
										
b118827248		eng	Angelman	Q755420	Monument Comics		2009	New wave Comic books, strips, etc; Superheroes		
										
b98643678		eng	A flight of forfeition	Q755420	Chris Monday		2011	New wave Comic books, strips, etc	Chris Monday	
b124041450		eng	Comic shop : the retail mavericks who gave us a new geek culture	Q755420	Ohio University Press	Q16947116	2017	Comic-book stores United States; Comic-book stores Canada; Selling Comic books, strips, etc. United States; Selling Comic books, strips, etc. Canada; Comic books, strips, etc. United States Marketing; Comic books, strips, etc. Canada Marketing; Booksellers and bookselling United States Biography; Booksellers and bookselling Canada Biography; Literary Criticism Comic books, strips, etc; Business & Economics Industries Retailing	Dan Gearino	
										
										
										
										
										
										
										
										
										
b23661124		eng	Wyse advice	Q818897	G. Shamray		1989	Career girl Comic books, strips, etc	Gerry Shamray	
b18135493		eng	Gimmeabreak comix	Q895459	Rhuta Press		1971	Underground comic books, strips, etc		
b52359062		eng	True fan confessions	Q895459	Erratic Periods Publications		1971	Romance comic books, strips, etc; Parody		
										
b12377387		eng	Icons of the alternate culture : the themes and functions of underground comix	Q895459	Bowling Green State University	Q895457	1975	Underground Comic books, strips, etc. History and criticism	Clinton R Sanders	
b12377399		eng	What does a kiss mean? : the love comic formula and the creation of the ideal teen-age girl	Q895459	Bowling Green State University	Q895457	1975	Romance Comic books, strips, etc. History and criticism	Philippe Perebinossof	
b10672102		eng	Kalimán : a Mexican superhero	Q895459	publisher not identified		1976	Kalimán, el hombre increible; Mexican Comic books, strips, etc. History and criticism; Superhero Comic books, strips, etc. History and criticism	Harold E. Hinds	
										
										
b12373709		eng	Reflections in a dark mirror : comic strips in Black newspapers	Q895459	Bowling Green State University	Q895457	1976	African American newspapers; Newspapers Sections, columns, etc. Comics; African Americans in Comic books, strips, etc	John D Stevens	
										
										
b12373801		eng	An inquiry into love comic books : the token evolution of a popular genre	Q895459	Bowling Green State University	Q895457	1976	Romance Comic books, strips, etc. History and criticism	Bruce Bailey	
b12374180		eng	Spider-Man : superhero in the liberal tradition	Q895459	Bowling Green State University	Q895457	1976	Spider-Man (Fictitious character); Spider-Man; Superhero Comic books, strips, etc. History and criticism	Salvatore Mondello	
										
										
b12375214		eng	Sold American : the metamorphosis of Captain America	Q895459	Bowling Green State University	Q895457	1976	Captain America (Fictitious character); Captain America (Comic strip); Superhero Comic books, strips, etc. History and criticism	Andrew Macdonald	
										
										
b12436392		eng	The comic art of Lyonel Feininger, 1906	Q895459	Bowling Green State University	Q895457	1976	Feininger, Lyonel, 1871-1956; Comic books, strips, etc. History and criticism	Rosemary Gallick	
										
b12436422		eng	The comic book in a socialist society : Allende's Chile, 1970-1973	Q895459	Bowling Green State University	Q895457	1976	La Firme; Comic books, strips, etc. Chile; Chilean Comic books, strips, etc. History and criticism; Chile Popular culture	Allen L Woll	
										
										
										
b10817967		eng	Death of a Gaulois : René Goscinny and Astérix	Q895459	The Journal of Popular Culture	Q15707472	1980	Goscinny, 1926-1977; Asterix (Comic strip); Franco-Belgian Comic books, strips, etc. History and criticism	Russel B. Nye	Q7381271
										
										
b12488501		eng	"Idea and motive in Jack King"" Kirby's comic books : a conversation /"""	Q895459	Bowling Green State University	Q895457	1983	Kirby, Jack; Comic books, strips, etc. United States History and criticism	Ronald Levitt Lanyi	
										
b11977541		eng	Images of women in Mexican comic books	Q895459	Bowling Green State University	Q895457	1984	Women in popular culture Mexico; Mexican Comic books, strips, etc. History and criticism; Women in Comic books, strips, etc	Harold E. Hinds	
										
										
b11977607		eng	Roasting Donald Duck : alternative comics and photonovels in Latin America	Q895459	Bowling Green State University	Q895457	1984	Comic books, strips, etc. Latin America History and criticism; Fotonovelas Latin America History and criticism	Cornelia Butler Flora	
										
b5181206x		eng	Cytronic : the robotsinboxes	Q895459	Bake Sale Records		1993	New wave Comic books, strips, etc		
b115918280		eng	Escapo, or, The escape artist : a reverse tragedy	Q895459	Horse Press		1998	Pope, Paul; Alternative Comic books, strips, etc	Paul Pope	
										
b35051929		eng	Themes and issues in Asian cartooning : cute, cheap, mad, and sexy	Q895459	Bowling Green State University	Q895457	1999	Caricatures and cartoons Asia Themes, motives; Comic books, strips, etc. Asia Themes, motives; Asian Comic books, strips, etc. History and criticism		
										
										
b58561560		eng	THB	Q895459	Horse Press		2003	Science fiction; Alternative Comic books, strips, etc	Paul Pope	
										
b5860666x		eng	The dogs	Q895459	Anthony Fontana		2006	Gangs	Anthony Fontana	
b67416263		eng	"It's the graphic language : the art of the comic"" book : exhibition October 24 - November 19 2008 /"""	Q895459	BGSU School of Art		2008	Comic books, strips, etc. Exhibitions		
b29303618		eng	Atomic war	Q491239	Junior Books		1952	Nuclear warfare; War		
										
b39369857		eng	Top secret	Q491239	Hillman Periodicals	Q544945	1952	Spy Comic books, strips, etc		
b53281020		eng	The strange world of your dreams	Q491239	Headline Comics	Q5689756	1952	Horror comic books, strips, etc		
b98949470		eng	Young brides	Q491239	Crestwood Publications	Q3406094	1952	Romance comic books, strips, etc		
b3589443x		eng	Skeleton hand in secrets of the supernatural	Q491239	B. & M. Distributing Company		1952	Horror comic books, strips, etc		
b49603127		eng	Jack the giant-killer	Q491239	Bimfort		1953	Fairy tales; Fantasy; Fantasy comic books, strips, etc		
										
										
b98230141		eng	Model fun	Q491239	Harle Publications		1954	Models and modelmaking; Adventure story Comic books, strips, etc		
										
b49308117		eng	Tom Corbett, space cadet	Q491239	Crestwood Publications	Q3406094	1955	Science fiction comic books, strips, etc		
b25816482		eng	All for love	Q491239	Crestwood Publications	Q3406094	1957	Romance comic books, strips, etc		
b21692877		eng	Figment	Q491239	Rick Stoner		1975	Fan magazines; New wave Comic books, strips, etc		
										
b121555021		eng	Comic book fair	Q491239	Canton Comic Collector's Club		1975	Comic books, strips, etc. Congresses		
b118089080		eng	Life on Mars	Q491239	Rick Stoner		1983	Science fiction comic books, strips, etc	Rick Stoner	
b29848969		eng	The deluxe self-publishing workbook : the independent publisher's guide	Q491239	Artly		1994	Comic books, strips, etc. Publishing; Self-publishing; Alternative Comic books, strips, etc. Publishing	Frank A Jones	
										
										
b51820158		eng	Call me princesa : proclamations of brats	Q491239	Princess Recognizing Headquarters		2003	New wave Comic books, strips, etc	Bree Suzanne	
b51686223		eng	Galen the saintly	Q998898	Lightpen Press		1990	New wave Comic books, strips, etc		
b103168485		eng	Alien legion : piecemaker	Q2375175	Checker Book Publishing Group	Q5089106	2002	Science fiction comic books, strips, etc	Carl Potts	
b104660752		eng	Tapping the vein	Q2375175	Checker Book Publishing Group	Q5089106	2002	Horror comic books, strips, etc	Clive Barker	
b119552632		eng	Hellraiser : collected best	Q2375175	Checker Book Publishing Group	Q5089106	2002	Horror comic books, strips, etc	Alex Ross	
b71480316		eng	Supreme : the return	Q2375175	Checker Book Publishing Group	Q5089106	2003	Superheroes	Alan Moore	
b72811924		eng	Milton Caniff's Steve Canyon--1947	Q2375175	Checker Book Publishing Group	Q5089106	2003	Adventure story Comic books, strips, etc	Milton Caniff	
b119552619		eng	Hellraiser : collected best II	Q2375175	Checker Book Publishing Group	Q5089106	2003	Horror comic books, strips, etc		
b100247726		eng	Milton Caniff's Steve Canyon 1948	Q2375175	Checker Book Publishing Group	Q5089106	2003	Adventure story Comic books, strips, etc	Milton Caniff	
b10740266x		eng	Star trek : the key collection. Volume 3	Q2375175	Checker Book Publishing Group	Q5089106	2005	Science fiction comic books, strips, etc		
b35463089		eng	Picture stories of favorite hymns	Q43196	Standard Publishing	Q20732174	1964	Church work with youth; Hymns; Hymns; Religious Comic books, strips, etc	Anne Porter Crain	
										
										
										
b21867884		eng	Horde	Q43196	Rick McCollum		1978	New wave Comic books, strips, etc		
b21709877		eng	Grue-toons	Q43196	Bruce Chrislip		1979	Horror; New wave Comic books, strips, etc		
										
b1762518x		eng	Echoes from the decadence : symbolist verse	Q43196	Rick McCollum		1980	New wave Comic books, strips, etc	Rick McCollum	
b1929539x		eng	Oracle comix. No. 1	Q43196	Thru Black Holes Comix	Q111584663	1980	Horror; New wave Comic books, strips, etc	Michael Roden	
										
b22274212		eng	City limits gazette	Q43196	Bruce Chrislip		1980	Fan magazines; Underground Comic books, strips, etc. History and criticism Periodicals; New wave Comic books, strips, etc. History and criticism Periodicals		
										
										
b51473100		eng	The Krueck Center alien : a story of superheroes, compassion, and the unworldly	Q43196	Krueck Community Center, The Cincinnati Recreation Commission, and the Savage Press		1981	Superheroes; New wave Comic books, strips, etc	Rick McCollum	
										
b16704770		eng	Just out! comix	Q43196	Icomiclast	Q111584339	1984	John, the Baptist, Saint Comic books, strips, etc; New wave Comic books, strips, etc		
										
b119522226		eng	Twitch	Q43196	Icomiclast	Q111584339	1985	New wave Comic books, strips, etc		
b16711774		eng	Nyarlathotep	Q43196	Icomiclast	Q111584339	1985	New wave Comic books, strips, etc	Rick McCollum	
b16712936		eng	Rim of reality	Q43196	Icomiclast	Q111584339	1985	Fantasy; New wave Comic books, strips, etc; Fantasy comic books, strips, etc	Rick McCollum	
										
										
b16712948		eng	Porkopolis	Q43196	Icomiclast	Q111584339	1985	Pork industry and trade; New wave Comic books, strips, etc; Cincinnati (Ohio) Comic books, strips, etc	Rick McCollum	
										
										
b21758281		eng	Bane	Q43196	Icomiclast	Q111584339	1985	New wave Comic books, strips, etc; Horror		
										
b56911713		eng	A monster from VENOM	Q43196	CPG Products Corporation		1985	Science fiction comic books, strips, etc		
b56911774		eng	Assault on Boulder Hill	Q43196	CPG Products Corporation		1985	Science fiction comic books, strips, etc		
b17101918		eng	How to draw and sell comic strips	Q43196	North Light Books	Q7055949	1987	Comic books, strips, etc. Illustrations; Comic books, strips, etc. Marketing; Drawing Technique	Alan McKenzie	
										
										
b120702605		eng	Fantaescape	Q43196	Zinzinnati Animation Productions		1988	Science fiction comic books, strips, etc		
b23656384		eng	Humor and cartoon markets	Q43196	Writer's Digest	Q15846533	1990	Authorship Marketing Directories; Caricatures and cartoons Marketing Directories; Wit and humor Marketing Directories; Comic books, strips, etc. United States Marketing Directories; Comic books, strips, etc. Publishing United States Directories; Publishers and publishing United States Directories		
										
										
										
										
										
b28024114		eng	Legacy	Q43196	Majestic Entertainment		1993	Superheroes		
b51976274		eng	S.T.A.T	Q43196	Majestic Entertainment		1993	Superheroes		
b67098642		eng	Legacy San Diego Comicon Preview	Q43196	Majestic Entertainment		1993	Superheroes		
b49225224		eng	Justin Green's sign game : a collection of monthly comic strips from Signs of the times	Q43196	ST Publications		1995	Signs and signboards	Justin Green	
b52356139		eng	West Street stories	Q43196	West Street Enterprises		1995	Superheroes		
b31124719		eng	How to create action, fantasy and adventure comics	Q43196	North Light		1996	Comic books, strips, etc. Authorship; Comic books, strips, etc. Technique	Tom Alvarez	
										
b118416133		eng	Minotaur	Q43196	Labyrinth Sutdios		1996	Fantasy; Fantasy comic books, strips, etc		
										
b118744641		eng	Eve	Q43196	Toon Art, Inc.		1997	Stories without words; Romance comic books, strips, etc	Myron Waldman	
										
b4974799x		eng	Emissary	Q43196	Strateia Inc		1998	Superheroes		
b39884703		eng	Plungerboy	Q43196	Drunken Cat Comics		2001	New wave Comic books, strips, etc; Superheroes		
										
b102985431		eng	The End	Q43196	Drunken Cat Comics		2002	New wave Comic books, strips, etc		
b70863659		eng	Snoopy's guide to the writing life	Q43196	Writer's Digest	Q15846533	2002	Authorship		
b49038722		eng	Comics crash course	Q43196	IMPACT		2004	Comic books, strips, etc. Technique; Drawing Technique	Vince Giarrano	
										
b55001257		eng	Spadefoot	Q43196	Twisted Gate Entertainment		2004	Funny animal Comic books, strips, etc; Fantasy; Fantasy comic books, strips, etc		
										
										
b82346082		eng	Richard's poor almanac : twelve months of misinformation in handy cartoon form	Q43196	Emmis Books		2004	Alternative Comic books, strips, etc	Richard Thompson	
b94796889		eng	Exploitation now	Q43196	Caffeine Angel Studios		2004	Fantasy; Webcomics; Fantasy comic books, strips, etc	Michael Poe	
										
										
b68636507		eng	Draw super heroes!	Q43196	IMPACT		2005	Heroes in art Juvenile literature; Cartooning Technique Juvenile literature; Superhero Comic books, strips, etc. Technique; Heroes in art; Cartooning; Superhero Comic books, strips, etc. Technique	David Okum	
										
										
										
										
										
b68636519		eng	Draw super manga! monsters	Q43196	IMPACT		2005	Monsters in art Juvenile literature; Japanese Comic books, strips, etc. Technique Juvenile literature; Cartooning Technique Juvenile literature; Monsters in art; Cartoons and comics; Cartooning	David Okum	
										
										
										
										
										
b68640614		eng	Draw super manga!	Q43196	IMPACT		2005	Japanese Comic books, strips, etc. Technique Juvenile literature; Cartooning Technique Juvenile literature; Cartoons and comics; Cartooning	David Okum	
										
										
										
b69424573		eng	Draw comics with Dick Giordano	Q43196	IMPACT		2005	Cartooning Technique; Comic books, strips, etc. Technique	Dick Giordano	
										
b118055677		eng	Superhero madness	Q43196	IMPACT		2005	Cartooning Technique; Superhero Comic books, strips, etc. Technique; Comic books, strips, etc. Technique	David Okum	
										
										
b51824899		eng	Writing for comics with Peter David	Q43196	IMPACT		2006	Comic books, strips, etc. Authorship	Peter David	
b53772957		eng	Comic artist's photo reference : people and poses	Q43196	IMPACT		2006	Human beings Caricatures and cartoons; Comic books, strips, etc. Technique; Drawing from photographs Technique	Buddy Scalera	
										
										
b6864064x		eng	Superhero explosion : 60 easy lessons for drawing comics!	Q43196	IMPACT		2006	Superhero Comic books, strips, etc. Technique; Drawing Technique Juvenile literature; Heroes in art; Cartoon characters	Neal Yamamoto	
										
										
										
b53588812		eng	Impact university. V. 3 : learn how to create comics, manga & fantasy art	Q43196	F+W Media	Q5423577	2007	Comic books, strips, etc. Technique; Drawing Technique		
										
b89373339		eng	Vanishing point : perspective for comics from the ground up	Q43196	IMPACT		2007	Perspective; Drawing Technique; Cartooning Technique; Comic books, strips, etc. Technique	Jason Cheeseman-Meyer	
										
										
										
